datetime,portfolio_value,cash,positions,return
2023-03-06 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-07 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-08 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-09 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-10 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-11 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-12 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-13 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-14 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-15 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-16 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-17 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-18 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-19 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-20 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-21 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-22 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-23 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-03-31 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-05 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-06 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-07 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2023-04-08 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
